construction_type,new_construction,elevator,floors_in_the_building,floor_area,number_of_rooms,number_of_bathrooms,ceiling_height,floor,balcony,furniture,renovation,price,currency,datetime,reg_id,Latitude,Longitude
Panels,0.0,1.0,9.0,110.0,4.0,2.0,2.8,9.0,Closed balcony,Not available,Old Renovation,210000.0,USD,2022-12-15,1,40.1793559,44.5291024
Monolith,1.0,1.0,15.0,60.0,2.0,2.0,3.0,5.0,Open balcony,By agreement,Major Renovation,155000.0,USD,2022-12-15,1,40.2095416,44.5090465
Stone,0.0,0.0,5.0,74.0,3.0,1.0,2.7,2.0,Not available,Partial Furniture,Major Renovation,117000.0,USD,2022-12-15,1,40.2057999,44.5062259
Monolith,1.0,1.0,12.0,95.0,3.0,2.0,2.75,2.0,Open balcony,,Major Renovation,350000.0,USD,2022-12-15,1,40.179775,44.5133319
Stone,0.0,1.0,8.0,92.0,3.0,2.0,2.8,6.0,Open balcony,By agreement,Euro Renovation,290000.0,USD,2022-12-15,1,40.1844812,44.5059276
Monolith,1.0,1.0,18.0,260.0,4.0,3.0,3.0,18.0,Open balcony,Available,Designer Renovation,470000.0,USD,2022-12-15,1,40.2026752,44.5067101
Monolith,1.0,1.0,17.0,117.0,3.0,2.0,3.0,10.0,Not available,Not available,Major Renovation,300000.0,USD,2022-12-15,1,40.184564,44.5407877
Panels,0.0,0.0,5.0,76.0,3.0,1.0,3.0,4.0,Open balcony,Available,Euro Renovation,26000.0,USD,2022-11-25,3,,
Stone,0.0,0.0,4.0,50.0,2.0,1.0,2.7,3.0,Closed balcony,Available,Euro Renovation,65000.0,USD,2022-12-15,1,40.19868659999999,44.5423388
Stone,0.0,0.0,6.0,66.0,2.0,1.0,2.8,2.0,Multiple balconies,Available,Partial Renovation,130000.0,USD,2022-12-15,1,40.1833847,44.500118
Stone,0.0,0.0,5.0,97.0,3.0,2.0,2.8,3.0,Multiple balconies,Not available,Old Renovation,133000.0,USD,2022-12-15,1,40.2057999,44.5062259
Stone,0.0,0.0,4.0,153.0,4.0,2.0,3.2,2.0,Open balcony,Available,Euro Renovation,450000.0,USD,2022-12-15,1,40.1843132,44.5100516
Monolith,0.0,1.0,9.0,67.0,3.0,1.0,2.5,1.0,Closed balcony,Available,Euro Renovation,145500.0,USD,2022-12-15,1,40.2220113,44.4945584
Panels,0.0,0.0,9.0,100.0,3.0,1.0,2.75,5.0,Closed balcony,By agreement,Major Renovation,85000.0,USD,2022-12-15,1,40.1503523,44.4740528
Panels,0.0,1.0,10.0,100.0,3.0,1.0,2.75,2.0,Not available,By agreement,Major Renovation,170000.0,USD,2022-12-15,1,40.1660217,44.5169416
Stone,0.0,1.0,7.0,65.0,3.0,1.0,2.75,7.0,Open balcony,Not available,Old Renovation,267.02,AMD,2022-12-15,1,40.1979912,44.4998781
Panels,0.0,1.0,9.0,64.0,3.0,1.0,2.7,1.0,Open balcony,Available,Partial Renovation,82000.0,USD,2022-12-15,1,40.1468785,44.5701325
Stone,0.0,0.0,4.0,30.0,1.0,1.0,2.6,4.0,Open balcony,Not available,Old Renovation,41000.0,USD,2022-12-15,1,40.199058,44.477511
Stone,0.0,0.0,5.0,58.0,2.0,1.0,2.7,3.0,Multiple balconies,By agreement,Old Renovation,60000.0,USD,2022-12-15,1,40.1949414,44.4738206
Monolith,1.0,1.0,10.0,116.0,3.0,2.0,3.0,5.0,Open balcony,Not available,Major Renovation,135000.0,USD,2022-12-15,1,40.2174401,44.5467774
Stone,0.0,0.0,4.0,72.0,3.0,1.0,3.2,3.0,Open balcony,Available,Designer Renovation,200000.0,USD,2022-12-15,1,40.2057999,44.5062259
Stone,0.0,0.0,5.0,150.0,4.0,1.0,3.0,4.0,Open balcony,Partial Furniture,Euro Renovation,335000.0,USD,2022-12-15,1,40.1829508,44.5166621
Stone,0.0,0.0,5.0,47.0,1.0,1.0,2.75,3.0,Not available,Not available,No Renovation,59500.0,USD,2022-12-15,1,40.1912299,44.4713366
Panels,0.0,1.0,9.0,85.0,4.0,1.0,2.8,4.0,Open balcony,Not available,Old Renovation,87000.0,USD,2022-12-15,1,40.1473621,44.4954327
Monolith,1.0,1.0,12.0,48.0,2.0,1.0,3.0,6.0,Not available,Available,Major Renovation,75000.0,USD,2022-12-15,1,40.21246379999999,44.470005
Monolith,0.0,1.0,10.0,78.0,2.0,1.0,3.0,3.0,Closed balcony,Available,Euro Renovation,210000.0,USD,2022-12-15,1,40.1829508,44.5166621
Panels,0.0,1.0,12.0,92.0,4.0,1.0,2.8,2.0,Open balcony,Available,Major Renovation,150000.0,USD,2022-12-15,1,40.2012047,44.5014376
Panels,0.0,1.0,9.0,59.0,2.0,1.0,2.7,9.0,Multiple balconies,By agreement,Partial Renovation,70000.0,USD,2022-12-15,1,40.1679377,44.5042333
Monolith,1.0,1.0,15.0,85.0,3.0,1.0,3.0,13.0,Open balcony,Not available,Designer Renovation,230000.0,USD,2022-12-15,1,40.2181019,44.4986442
Panels,0.0,1.0,9.0,77.0,3.0,1.0,2.75,7.0,Closed balcony,Not available,Partial Renovation,88330.0,EUR,2022-12-15,1,40.207069,44.5473332
Panels,0.0,1.0,9.0,43.0,2.0,1.0,2.7,9.0,Open balcony,Available,Euro Renovation,73000.0,USD,2022-12-15,1,40.166725,44.5139142
