cell_id,area_km2,cx,cy,pop_sum,pop_density_per_km2,biz_count,biz_density_per_km2,rent_listings,implied_rent_per_m2_month,dist_to_g_m,dist_to_nearest_herit_m,herit_cnt_500m,herit_density_500m,R_implied,rent_missing,log_rent,M_obs,y_business
306,0.05339179094791892,449609.09322885674,4448447.435743084,134.28659057617188,2515.11680338953,0,0.0,0,,8937.392116351699,3434.1896068269252,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
307,0.13858287366615726,449521.5591247918,4448929.420876833,326.78173828125,2358.0239724892645,0,0.0,0,,9083.932197479138,3710.925251428903,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
308,0.190782520430169,449469.51930160867,4449421.398269815,476.92340087890625,2499.8275513058425,0,0.0,0,,9221.328533061289,4002.722001465678,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
309,0.03469331667473074,449599.7220584177,4450034.756598614,124.80911254882812,3597.4972851106572,0,0.0,0,,9238.07621106346,4237.749797324197,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
310,0.14732874857682624,449515.9200316104,4450441.962993622,434.9468078613281,2952.21952309274,0,0.0,0,,9434.65831514308,4101.280118708221,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
311,0.21151851984210354,449453.27351274237,4450932.691766551,428.15057373046875,2024.175349043095,0,0.0,0,,9654.024734859193,3952.7913703479853,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
312,0.22789289276534458,449437.852173602,4451425.943389719,297.47271728515625,1305.3180977936693,0,0.0,0,,9850.788849397313,3816.007714666563,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
313,0.25,449416.1575750762,4451921.847749205,149.24264526367188,596.9705810546875,0,0.0,0,,10074.721031206822,3745.739165674421,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
314,0.25,449416.1575750762,4452421.847749205,28.149505615234375,112.5980224609375,0,0.0,0,,10300.470602687707,3718.947046309993,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
315,0.12282405331058521,449394.51194242603,4452797.707387099,5.667425155639648,46.14263251277361,0,0.0,0,,10501.449575519022,3764.4228511754663,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
337,0.05817987793938405,449927.55045587325,4444109.3794471575,173.51678466796875,2982.4191939479647,0,0.0,0,,9248.681947890427,1291.002896618542,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
338,0.25,449916.1575750762,4444421.847749205,1060.0828857421875,4240.33154296875,0,0.0,0,,9146.981886435604,1114.6216946134255,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
339,0.248293187102915,449917.69811392634,4444920.236591857,938.1949462890625,3778.577081537844,1,4.027496733470621,0,,8986.047806075589,1004.7329121659926,0,0.0,6.588235294117648,1,2.0265990603054562,4.027496733470621,1
340,0.07330087493284086,449951.31200396456,4445255.491111435,238.13250732421875,3248.699385135561,0,0.0,0,,8860.431038555185,1094.9425134579294,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
343,0.15756151637499904,449939.63982984796,4447007.561080608,759.865478515625,4822.65908578293,0,0.0,0,,8582.473304402303,2337.292289702687,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
344,0.25,449916.1575750762,4447421.847749205,821.83203125,3287.328125,0,0.0,0,,8588.67989343745,2706.7913903084727,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
345,0.25,449916.1575750762,4447921.847749205,611.0311279296875,2444.12451171875,0,0.0,0,,8594.481548768916,2985.1191399765676,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
346,0.25,449916.1575750762,4448421.847749205,699.8731079101562,2799.492431640625,0,0.0,0,,8629.299153020595,3139.197221120135,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
347,0.25,449916.1575750762,4448921.847749205,596.3082275390625,2385.23291015625,0,0.0,0,,8692.784056475495,3361.27685654162,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
348,0.24577829434997187,449919.1545949669,4449417.834600229,680.03271484375,2766.854236019023,0,0.0,0,,8780.540492834674,3626.998774683095,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
