cell_id,district,price_2022_amd_m2,rent_implied_amd_m2_month
1009,Erebuni,416.0,2.08
1010,Erebuni,416.0,2.08
1011,Erebuni,416.0,2.08
1012,Erebuni,416.0,2.08
1013,Erebuni,416.0,2.08
1014,Erebuni,416.0,2.08
1015,Erebuni,416.0,2.08
1016,Erebuni,416.0,2.08
1017,Erebuni,416.0,2.08
1018,Erebuni,416.0,2.08
1019,Erebuni,416.0,2.08
1020,Erebuni,416.0,2.08
1021,Erebuni,416.0,2.08
1022,Kentron,870.0,4.35
1023,Kentron,870.0,4.35
1024,Kentron,870.0,4.35
1025,Kentron,870.0,4.35
1026,Kentron,870.0,4.35
1027,Kentron,870.0,4.35
1028,Kentron,870.0,4.35
1029,Arabkir,900.0,4.5
1030,Arabkir,900.0,4.5
1031,Arabkir,900.0,4.5
1032,Arabkir,900.0,4.5
1033,Arabkir,900.0,4.5
1034,Arabkir,900.0,4.5
1035,Davtashen,449.0,2.2449999999999997
1036,,,
1037,,,
1038,,,
1039,,,
1040,,,
1041,Nubarashen,453.0,2.265
1042,Nubarashen,453.0,2.265
1043,Nubarashen,453.0,2.265
1044,Nubarashen,453.0,2.265
1045,Nubarashen,453.0,2.265
1046,Shengavit,815.0,4.075
1047,Shengavit,815.0,4.075
1048,Erebuni,416.0,2.08
1049,Erebuni,416.0,2.08
1050,Erebuni,416.0,2.08
1051,Erebuni,416.0,2.08
1052,Erebuni,416.0,2.08
1053,Erebuni,416.0,2.08
1054,Erebuni,416.0,2.08
1055,Erebuni,416.0,2.08
1056,Erebuni,416.0,2.08
1057,Erebuni,416.0,2.08
1058,Erebuni,416.0,2.08
1059,Erebuni,416.0,2.08
1060,Erebuni,416.0,2.08
1061,Kentron,870.0,4.35
1062,Kentron,870.0,4.35
1063,Kentron,870.0,4.35
1064,Kentron,870.0,4.35
1065,Kentron,870.0,4.35
1066,Kentron,870.0,4.35
1067,Kentron,870.0,4.35
1068,Kentron,870.0,4.35
1069,Arabkir,900.0,4.5
1070,Arabkir,900.0,4.5
1071,Arabkir,900.0,4.5
1072,Arabkir,900.0,4.5
1073,Arabkir,900.0,4.5
1074,Arabkir,900.0,4.5
1075,Arabkir,900.0,4.5
1076,,,
1077,,,
1078,,,
1079,,,
1080,,,
1081,,,
