city,historic_lon,historic_lat,business_lon,business_lat,dist_hist_to_bus_m,business_area_km2,business_points_total,business_points_cluster,cluster_method,business_center_method,polygon_file,utm_crs,core_radius_km,include_shops,dbscan_eps_m,dbscan_min_samples,poly_point_buffer_m,poly_simplify_m
"Caracas, Venezuela",-66.9146252,10.5059994,-66.87939244093272,10.493171582391168,4110.621461799939,37.356968417475855,5094,3947,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\caracas_venezuela.geojson,EPSG:32619,12.0,True,450.0,25,180.0,60.0
"Quito, Ecuador",-78.4354935,-0.195859,-78.50749509135456,-0.20853887436882268,8141.562920551909,82.54118501148619,18025,16208,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\quito_ecuador.geojson,EPSG:32717,12.0,True,450.0,25,180.0,60.0
"Lima, Peru",-77.030577,-12.0459357,-77.03241018986449,-12.089681348177868,4844.374409269463,80.69659659024268,13359,7849,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\lima_peru.geojson,EPSG:32718,12.0,True,450.0,25,180.0,60.0
"La Paz, Bolivia",-68.1335593,-16.4957117,-68.13288813826738,-16.498359983200437,301.6136433696445,20.078244658564167,4843,2885,dbscan_eps450.0_min25_label1,polygon_centroid,data/city_centers\business_area_polygons_geojson\la_paz_bolivia.geojson,EPSG:32719,12.0,True,450.0,25,180.0,60.0
"Santiago, Chile",-70.6512777,-33.4374154,-70.65497159860695,-33.45339015141031,1804.5845127595635,22.3950501640585,4534,4530,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\santiago_chile.geojson,EPSG:32719,12.0,True,450.0,25,180.0,60.0
"Buenos Aires, Argentina",-58.3721787,-34.6084453,-58.44214488929167,-34.60439630209289,6431.963622526321,121.01638656775984,20040,19188,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\buenos_aires_argentina.geojson,EPSG:32721,12.0,True,450.0,25,180.0,60.0
"Montevideo, Uruguay",-56.1997577,-34.9064755,-56.162546391945405,-34.891909614636056,3764.224289855049,36.708584445636646,5165,3759,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\montevideo_uruguay.geojson,EPSG:32721,12.0,True,450.0,25,180.0,60.0
"Asunción, Paraguay",-57.6345922,-25.2798868,-57.59862320354939,-25.293091970341944,3905.4336697297595,47.56227067980583,7069,6534,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\asunci_n_paraguay.geojson,EPSG:32721,12.0,True,450.0,25,180.0,60.0
"Santo Domingo, Dominican Republic",-69.8868222,18.4714798,-69.85493326424418,18.502198968906903,4784.332682264792,12.877373022039674,4018,1102,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\santo_domingo_dominican_republic.geojson,EPSG:32619,12.0,True,450.0,25,180.0,60.0
"Rio de Janeiro, Brazil",-43.1741692,-22.9035895,-43.18769101458312,-22.94325114803752,4606.199719338946,19.26039544185557,4512,2859,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\rio_de_janeiro_brazil.geojson,EPSG:32723,10.0,True,450.0,25,180.0,60.0
"São Paulo, Brazil",-46.6330228,-23.5480201,-46.646178627414116,-23.543811995088245,1421.7595262205475,89.19394319042605,12452,9376,dbscan_eps450.0_min25_label1,polygon_centroid,data/city_centers\business_area_polygons_geojson\s_o_paulo_brazil.geojson,EPSG:32723,10.0,True,450.0,25,180.0,60.0
